id,url,do_not_use
24709,https://upload.wikimedia.org/wikipedia/commons/1/14/Official_portrait_of_Bridget_Phillipson_MP_crop_2.jpg,1
10489,https://upload.wikimedia.org/wikipedia/commons/c/c1/Official_portrait_of_Baroness_Primarolo_crop_2.jpg,1
24926,https://upload.wikimedia.org/wikipedia/commons/7/76/Jacob_Rees-Mogg_MP.jpg,1
10498,https://upload.wikimedia.org/wikipedia/commons/a/a5/Nick_Raynsford_MP.jpg,0
11172,https://upload.wikimedia.org/wikipedia/commons/6/61/Official_portrait_of_Mr_Mark_Prisk_crop_2.jpg,1
24899,https://upload.wikimedia.org/wikipedia/commons/a/a2/Mark_Reckless_AM_%2827889492560%29.jpg,0
24747,https://upload.wikimedia.org/wikipedia/commons/1/10/Official_portrait_of_Rt_Hon_Christopher_Pincher_MP_crop_2.jpg,1
24756,https://upload.wikimedia.org/wikipedia/commons/c/ca/Dan_Poulter_MP_%28cropped%29.jpg,0
24858,https://upload.wikimedia.org/wikipedia/commons/f/f7/Simon_reevell.jpg,0
11946,https://upload.wikimedia.org/wikipedia/commons/a/a0/Official_portrait_of_Mark_Pritchard_crop_2.jpg,1
24845,https://upload.wikimedia.org/wikipedia/commons/c/cc/Toby_Perkins.jpg,1
24915,https://upload.wikimedia.org/wikipedia/commons/9/94/Claire_perry.jpg,0
10173,https://upload.wikimedia.org/wikipedia/commons/a/ac/Brian_Donahoe_2012.jpg,0
24730,https://upload.wikimedia.org/wikipedia/commons/c/cc/ThomasDochertyMP-crop.jpg,0
10176,https://upload.wikimedia.org/wikipedia/commons/e/ed/Jim_Dowd_solar.jpg,1
10857,https://upload.wikimedia.org/wikipedia/commons/a/a1/Official_portrait_of_Nigel_Dodds_crop_2.jpg,1
10174,https://upload.wikimedia.org/wikipedia/commons/e/e7/FrankDoranMP.jpg,0
24903,https://upload.wikimedia.org/wikipedia/commons/e/e6/Official_portrait_of_Richard_Drax_MP_crop_2.jpg,1
10172,https://upload.wikimedia.org/wikipedia/commons/3/37/Official_portrait_of_Sir_Jeffrey_M._Donaldson_crop_2.jpg,1
24918,https://upload.wikimedia.org/wikipedia/commons/4/43/Gemma-doyle.jpg,0
24957,https://upload.wikimedia.org/wikipedia/commons/1/10/Official_portrait_of_Jackie_Doyle-Price_MP_crop_2.jpg,1
10171,https://upload.wikimedia.org/wikipedia/commons/2/2e/Frank_Dobson_MP%2C_crop.jpg,0
11785,https://upload.wikimedia.org/wikipedia/commons/0/00/Official_portrait_of_James_Duddridge_MP_crop_2.jpg,1
24825,https://upload.wikimedia.org/wikipedia/commons/d/d0/Official_portrait_of_Jack_Dromey_MP_crop_2.jpg,1
